Contract Name,Contract Address,Slot,Value
bookKeeperFlashMintArbitrager,0xf3D403DA1C8368Ce164dDA5bd316d582aC457a35,0,0x0000000000000000000000000000000000000000000000000000000000000001
bookKeeperFlashMintArbitrager,0xf3D403DA1C8368Ce164dDA5bd316d582aC457a35,1,0x0000000000000000000000000000000000000000000000000000000000000000
bookKeeperFlashMintArbitrager,0xf3D403DA1C8368Ce164dDA5bd316d582aC457a35,2,0x0000000000000000000000000000000000000000000000000000000000000000
bookKeeperFlashMintArbitrager,0xf3D403DA1C8368Ce164dDA5bd316d582aC457a35,3,0x0000000000000000000000000000000000000000000000000000000000000000
bookKeeperFlashMintArbitrager,0xf3D403DA1C8368Ce164dDA5bd316d582aC457a35,4,0x0000000000000000000000000000000000000000000000000000000000000000
bookKeeperFlashMintArbitrager,0xf3D403DA1C8368Ce164dDA5bd316d582aC457a35,5,0x0000000000000000000000000000000000000000000000000000000000000000
bookKeeperFlashMintArbitrager,0xf3D403DA1C8368Ce164dDA5bd316d582aC457a35,6,0x0000000000000000000000000000000000000000000000000000000000000000
bookKeeperFlashMintArbitrager,0xf3D403DA1C8368Ce164dDA5bd316d582aC457a35,7,0x0000000000000000000000000000000000000000000000000000000000000000
bookKeeperFlashMintArbitrager,0xf3D403DA1C8368Ce164dDA5bd316d582aC457a35,8,0x0000000000000000000000000000000000000000000000000000000000000000
bookKeeperFlashMintArbitrager,0xf3D403DA1C8368Ce164dDA5bd316d582aC457a35,9,0x0000000000000000000000000000000000000000000000000000000000000000
bookKeeperFlashMintArbitrager,0xf3D403DA1C8368Ce164dDA5bd316d582aC457a35,10,0x0000000000000000000000000000000000000000000000000000000000000000
bookKeeperFlashMintArbitrager,0xf3D403DA1C8368Ce164dDA5bd316d582aC457a35,11,0x0000000000000000000000000000000000000000000000000000000000000000
bookKeeperFlashMintArbitrager,0xf3D403DA1C8368Ce164dDA5bd316d582aC457a35,12,0x0000000000000000000000000000000000000000000000000000000000000000
bookKeeperFlashMintArbitrager,0xf3D403DA1C8368Ce164dDA5bd316d582aC457a35,13,0x0000000000000000000000000000000000000000000000000000000000000000
bookKeeperFlashMintArbitrager,0xf3D403DA1C8368Ce164dDA5bd316d582aC457a35,14,0x0000000000000000000000000000000000000000000000000000000000000000
bookKeeperFlashMintArbitrager,0xf3D403DA1C8368Ce164dDA5bd316d582aC457a35,15,0x0000000000000000000000000000000000000000000000000000000000000000
bookKeeperFlashMintArbitrager,0xf3D403DA1C8368Ce164dDA5bd316d582aC457a35,16,0x0000000000000000000000000000000000000000000000000000000000000000
bookKeeperFlashMintArbitrager,0xf3D403DA1C8368Ce164dDA5bd316d582aC457a35,17,0x0000000000000000000000000000000000000000000000000000000000000000
bookKeeperFlashMintArbitrager,0xf3D403DA1C8368Ce164dDA5bd316d582aC457a35,18,0x0000000000000000000000000000000000000000000000000000000000000000
bookKeeperFlashMintArbitrager,0xf3D403DA1C8368Ce164dDA5bd316d582aC457a35,19,0x0000000000000000000000000000000000000000000000000000000000000000
bookKeeperFlashMintArbitrager,0xf3D403DA1C8368Ce164dDA5bd316d582aC457a35,20,0x0000000000000000000000000000000000000000000000000000000000000000
bookKeeperFlashMintArbitrager,0xf3D403DA1C8368Ce164dDA5bd316d582aC457a35,21,0x0000000000000000000000000000000000000000000000000000000000000000
bookKeeperFlashMintArbitrager,0xf3D403DA1C8368Ce164dDA5bd316d582aC457a35,22,0x0000000000000000000000000000000000000000000000000000000000000000
bookKeeperFlashMintArbitrager,0xf3D403DA1C8368Ce164dDA5bd316d582aC457a35,23,0x0000000000000000000000000000000000000000000000000000000000000000
bookKeeperFlashMintArbitrager,0xf3D403DA1C8368Ce164dDA5bd316d582aC457a35,24,0x0000000000000000000000000000000000000000000000000000000000000000
bookKeeperFlashMintArbitrager,0xf3D403DA1C8368Ce164dDA5bd316d582aC457a35,25,0x0000000000000000000000000000000000000000000000000000000000000000
bookKeeperFlashMintArbitrager,0xf3D403DA1C8368Ce164dDA5bd316d582aC457a35,26,0x0000000000000000000000000000000000000000000000000000000000000000
bookKeeperFlashMintArbitrager,0xf3D403DA1C8368Ce164dDA5bd316d582aC457a35,27,0x0000000000000000000000000000000000000000000000000000000000000000
bookKeeperFlashMintArbitrager,0xf3D403DA1C8368Ce164dDA5bd316d582aC457a35,28,0x0000000000000000000000000000000000000000000000000000000000000000
bookKeeperFlashMintArbitrager,0xf3D403DA1C8368Ce164dDA5bd316d582aC457a35,29,0x0000000000000000000000000000000000000000000000000000000000000000
bookKeeperFlashMintArbitrager,0xf3D403DA1C8368Ce164dDA5bd316d582aC457a35,30,0x0000000000000000000000000000000000000000000000000000000000000000
bookKeeperFlashMintArbitrager,0xf3D403DA1C8368Ce164dDA5bd316d582aC457a35,31,0x0000000000000000000000000000000000000000000000000000000000000000
bookKeeperFlashMintArbitrager,0xf3D403DA1C8368Ce164dDA5bd316d582aC457a35,32,0x0000000000000000000000000000000000000000000000000000000000000000
bookKeeperFlashMintArbitrager,0xf3D403DA1C8368Ce164dDA5bd316d582aC457a35,33,0x0000000000000000000000000000000000000000000000000000000000000000
bookKeeperFlashMintArbitrager,0xf3D403DA1C8368Ce164dDA5bd316d582aC457a35,34,0x0000000000000000000000000000000000000000000000000000000000000000
bookKeeperFlashMintArbitrager,0xf3D403DA1C8368Ce164dDA5bd316d582aC457a35,35,0x0000000000000000000000000000000000000000000000000000000000000000
bookKeeperFlashMintArbitrager,0xf3D403DA1C8368Ce164dDA5bd316d582aC457a35,36,0x0000000000000000000000000000000000000000000000000000000000000000
bookKeeperFlashMintArbitrager,0xf3D403DA1C8368Ce164dDA5bd316d582aC457a35,37,0x0000000000000000000000000000000000000000000000000000000000000000
bookKeeperFlashMintArbitrager,0xf3D403DA1C8368Ce164dDA5bd316d582aC457a35,38,0x0000000000000000000000000000000000000000000000000000000000000000
bookKeeperFlashMintArbitrager,0xf3D403DA1C8368Ce164dDA5bd316d582aC457a35,39,0x0000000000000000000000000000000000000000000000000000000000000000
bookKeeperFlashMintArbitrager,0xf3D403DA1C8368Ce164dDA5bd316d582aC457a35,40,0x0000000000000000000000000000000000000000000000000000000000000000
bookKeeperFlashMintArbitrager,0xf3D403DA1C8368Ce164dDA5bd316d582aC457a35,41,0x0000000000000000000000000000000000000000000000000000000000000000
bookKeeperFlashMintArbitrager,0xf3D403DA1C8368Ce164dDA5bd316d582aC457a35,42,0x0000000000000000000000000000000000000000000000000000000000000000
bookKeeperFlashMintArbitrager,0xf3D403DA1C8368Ce164dDA5bd316d582aC457a35,43,0x0000000000000000000000000000000000000000000000000000000000000000
bookKeeperFlashMintArbitrager,0xf3D403DA1C8368Ce164dDA5bd316d582aC457a35,44,0x0000000000000000000000000000000000000000000000000000000000000000
bookKeeperFlashMintArbitrager,0xf3D403DA1C8368Ce164dDA5bd316d582aC457a35,45,0x0000000000000000000000000000000000000000000000000000000000000000
bookKeeperFlashMintArbitrager,0xf3D403DA1C8368Ce164dDA5bd316d582aC457a35,46,0x0000000000000000000000000000000000000000000000000000000000000000
bookKeeperFlashMintArbitrager,0xf3D403DA1C8368Ce164dDA5bd316d582aC457a35,47,0x0000000000000000000000000000000000000000000000000000000000000000
bookKeeperFlashMintArbitrager,0xf3D403DA1C8368Ce164dDA5bd316d582aC457a35,48,0x0000000000000000000000000000000000000000000000000000000000000000
bookKeeperFlashMintArbitrager,0xf3D403DA1C8368Ce164dDA5bd316d582aC457a35,49,0x0000000000000000000000000000000000000000000000000000000000000000
bookKeeperFlashMintArbitrager,0xf3D403DA1C8368Ce164dDA5bd316d582aC457a35,50,0x0000000000000000000000000000000000000000000000000000000000000000
bookKeeperFlashMintArbitrager,0xf3D403DA1C8368Ce164dDA5bd316d582aC457a35,51,0x000000000000000000000000594d425a6c9249f66a00c841a7a2a921b63a0a4c
bookKeeperFlashMintArbitrager,0xf3D403DA1C8368Ce164dDA5bd316d582aC457a35,52,0x0000000000000000000000000000000000000000000000000000000000000000
bookKeeperFlashMintArbitrager,0xf3D403DA1C8368Ce164dDA5bd316d582aC457a35,53,0x0000000000000000000000000000000000000000000000000000000000000000
bookKeeperFlashMintArbitrager,0xf3D403DA1C8368Ce164dDA5bd316d582aC457a35,54,0x0000000000000000000000000000000000000000000000000000000000000000
bookKeeperFlashMintArbitrager,0xf3D403DA1C8368Ce164dDA5bd316d582aC457a35,55,0x0000000000000000000000000000000000000000000000000000000000000000
bookKeeperFlashMintArbitrager,0xf3D403DA1C8368Ce164dDA5bd316d582aC457a35,56,0x0000000000000000000000000000000000000000000000000000000000000000
bookKeeperFlashMintArbitrager,0xf3D403DA1C8368Ce164dDA5bd316d582aC457a35,57,0x0000000000000000000000000000000000000000000000000000000000000000
bookKeeperFlashMintArbitrager,0xf3D403DA1C8368Ce164dDA5bd316d582aC457a35,58,0x0000000000000000000000000000000000000000000000000000000000000000
bookKeeperFlashMintArbitrager,0xf3D403DA1C8368Ce164dDA5bd316d582aC457a35,59,0x0000000000000000000000000000000000000000000000000000000000000000
