Contract Name,Contract Address,Slot,Value
bookKeeper,0x6FD3f049DF9e1886e1DFc1A034D379efaB0603CE,0,0x0000000000000000000000000000000000000000000000000000000000000001
bookKeeper,0x6FD3f049DF9e1886e1DFc1A034D379efaB0603CE,1,0x0000000000000000000000000000000000000000000000000000000000000000
bookKeeper,0x6FD3f049DF9e1886e1DFc1A034D379efaB0603CE,2,0x0000000000000000000000000000000000000000000000000000000000000000
bookKeeper,0x6FD3f049DF9e1886e1DFc1A034D379efaB0603CE,3,0x0000000000000000000000000000000000000000000000000000000000000000
bookKeeper,0x6FD3f049DF9e1886e1DFc1A034D379efaB0603CE,4,0x0000000000000000000000000000000000000000000000000000000000000000
bookKeeper,0x6FD3f049DF9e1886e1DFc1A034D379efaB0603CE,5,0x0000000000000000000000000000000000000000000000000000000000000000
bookKeeper,0x6FD3f049DF9e1886e1DFc1A034D379efaB0603CE,6,0x0000000000000000000000000000000000000000000000000000000000000000
bookKeeper,0x6FD3f049DF9e1886e1DFc1A034D379efaB0603CE,7,0x0000000000000000000000000000000000000000000000000000000000000000
bookKeeper,0x6FD3f049DF9e1886e1DFc1A034D379efaB0603CE,8,0x0000000000000000000000000000000000000000000000000000000000000000
bookKeeper,0x6FD3f049DF9e1886e1DFc1A034D379efaB0603CE,9,0x0000000000000000000000000000000000000000000000000000000000000000
bookKeeper,0x6FD3f049DF9e1886e1DFc1A034D379efaB0603CE,10,0x0000000000000000000000000000000000000000000000000000000000000000
bookKeeper,0x6FD3f049DF9e1886e1DFc1A034D379efaB0603CE,11,0x0000000000000000000000000000000000000000000000000000000000000000
bookKeeper,0x6FD3f049DF9e1886e1DFc1A034D379efaB0603CE,12,0x0000000000000000000000000000000000000000000000000000000000000000
bookKeeper,0x6FD3f049DF9e1886e1DFc1A034D379efaB0603CE,13,0x0000000000000000000000000000000000000000000000000000000000000000
bookKeeper,0x6FD3f049DF9e1886e1DFc1A034D379efaB0603CE,14,0x0000000000000000000000000000000000000000000000000000000000000000
bookKeeper,0x6FD3f049DF9e1886e1DFc1A034D379efaB0603CE,15,0x0000000000000000000000000000000000000000000000000000000000000000
bookKeeper,0x6FD3f049DF9e1886e1DFc1A034D379efaB0603CE,16,0x0000000000000000000000000000000000000000000000000000000000000000
bookKeeper,0x6FD3f049DF9e1886e1DFc1A034D379efaB0603CE,17,0x0000000000000000000000000000000000000000000000000000000000000000
bookKeeper,0x6FD3f049DF9e1886e1DFc1A034D379efaB0603CE,18,0x0000000000000000000000000000000000000000000000000000000000000000
bookKeeper,0x6FD3f049DF9e1886e1DFc1A034D379efaB0603CE,19,0x0000000000000000000000000000000000000000000000000000000000000000
bookKeeper,0x6FD3f049DF9e1886e1DFc1A034D379efaB0603CE,20,0x0000000000000000000000000000000000000000000000000000000000000000
bookKeeper,0x6FD3f049DF9e1886e1DFc1A034D379efaB0603CE,21,0x0000000000000000000000000000000000000000000000000000000000000000
bookKeeper,0x6FD3f049DF9e1886e1DFc1A034D379efaB0603CE,22,0x0000000000000000000000000000000000000000000000000000000000000000
bookKeeper,0x6FD3f049DF9e1886e1DFc1A034D379efaB0603CE,23,0x0000000000000000000000000000000000000000000000000000000000000000
bookKeeper,0x6FD3f049DF9e1886e1DFc1A034D379efaB0603CE,24,0x0000000000000000000000000000000000000000000000000000000000000000
bookKeeper,0x6FD3f049DF9e1886e1DFc1A034D379efaB0603CE,25,0x0000000000000000000000000000000000000000000000000000000000000000
bookKeeper,0x6FD3f049DF9e1886e1DFc1A034D379efaB0603CE,26,0x0000000000000000000000000000000000000000000000000000000000000000
bookKeeper,0x6FD3f049DF9e1886e1DFc1A034D379efaB0603CE,27,0x0000000000000000000000000000000000000000000000000000000000000000
bookKeeper,0x6FD3f049DF9e1886e1DFc1A034D379efaB0603CE,28,0x0000000000000000000000000000000000000000000000000000000000000000
bookKeeper,0x6FD3f049DF9e1886e1DFc1A034D379efaB0603CE,29,0x0000000000000000000000000000000000000000000000000000000000000000
bookKeeper,0x6FD3f049DF9e1886e1DFc1A034D379efaB0603CE,30,0x0000000000000000000000000000000000000000000000000000000000000000
bookKeeper,0x6FD3f049DF9e1886e1DFc1A034D379efaB0603CE,31,0x0000000000000000000000000000000000000000000000000000000000000000
bookKeeper,0x6FD3f049DF9e1886e1DFc1A034D379efaB0603CE,32,0x0000000000000000000000000000000000000000000000000000000000000000
bookKeeper,0x6FD3f049DF9e1886e1DFc1A034D379efaB0603CE,33,0x0000000000000000000000000000000000000000000000000000000000000000
bookKeeper,0x6FD3f049DF9e1886e1DFc1A034D379efaB0603CE,34,0x0000000000000000000000000000000000000000000000000000000000000000
bookKeeper,0x6FD3f049DF9e1886e1DFc1A034D379efaB0603CE,35,0x0000000000000000000000000000000000000000000000000000000000000000
bookKeeper,0x6FD3f049DF9e1886e1DFc1A034D379efaB0603CE,36,0x0000000000000000000000000000000000000000000000000000000000000000
bookKeeper,0x6FD3f049DF9e1886e1DFc1A034D379efaB0603CE,37,0x0000000000000000000000000000000000000000000000000000000000000000
bookKeeper,0x6FD3f049DF9e1886e1DFc1A034D379efaB0603CE,38,0x0000000000000000000000000000000000000000000000000000000000000000
bookKeeper,0x6FD3f049DF9e1886e1DFc1A034D379efaB0603CE,39,0x0000000000000000000000000000000000000000000000000000000000000000
bookKeeper,0x6FD3f049DF9e1886e1DFc1A034D379efaB0603CE,40,0x0000000000000000000000000000000000000000000000000000000000000000
bookKeeper,0x6FD3f049DF9e1886e1DFc1A034D379efaB0603CE,41,0x0000000000000000000000000000000000000000000000000000000000000000
bookKeeper,0x6FD3f049DF9e1886e1DFc1A034D379efaB0603CE,42,0x0000000000000000000000000000000000000000000000000000000000000000
bookKeeper,0x6FD3f049DF9e1886e1DFc1A034D379efaB0603CE,43,0x0000000000000000000000000000000000000000000000000000000000000000
bookKeeper,0x6FD3f049DF9e1886e1DFc1A034D379efaB0603CE,44,0x0000000000000000000000000000000000000000000000000000000000000000
bookKeeper,0x6FD3f049DF9e1886e1DFc1A034D379efaB0603CE,45,0x0000000000000000000000000000000000000000000000000000000000000000
bookKeeper,0x6FD3f049DF9e1886e1DFc1A034D379efaB0603CE,46,0x0000000000000000000000000000000000000000000000000000000000000000
bookKeeper,0x6FD3f049DF9e1886e1DFc1A034D379efaB0603CE,47,0x0000000000000000000000000000000000000000000000000000000000000000
bookKeeper,0x6FD3f049DF9e1886e1DFc1A034D379efaB0603CE,48,0x0000000000000000000000000000000000000000000000000000000000000000
bookKeeper,0x6FD3f049DF9e1886e1DFc1A034D379efaB0603CE,49,0x0000000000000000000000000000000000000000000000000000000000000000
