Contract Name,Contract Address,Slot,Value
collateralPoolConfig,0x4F5Ea639600A01931B1370CDe99a7B1e7b6b8f6C,0,0x0000000000000000000000000000000000000000000000000000000000000001
collateralPoolConfig,0x4F5Ea639600A01931B1370CDe99a7B1e7b6b8f6C,1,0x0000000000000000000000000000000000000000000000000000000000000000
collateralPoolConfig,0x4F5Ea639600A01931B1370CDe99a7B1e7b6b8f6C,2,0x0000000000000000000000000000000000000000000000000000000000000000
collateralPoolConfig,0x4F5Ea639600A01931B1370CDe99a7B1e7b6b8f6C,3,0x0000000000000000000000000000000000000000000000000000000000000000
collateralPoolConfig,0x4F5Ea639600A01931B1370CDe99a7B1e7b6b8f6C,4,0x0000000000000000000000000000000000000000000000000000000000000000
collateralPoolConfig,0x4F5Ea639600A01931B1370CDe99a7B1e7b6b8f6C,5,0x0000000000000000000000000000000000000000000000000000000000000000
collateralPoolConfig,0x4F5Ea639600A01931B1370CDe99a7B1e7b6b8f6C,6,0x0000000000000000000000000000000000000000000000000000000000000000
collateralPoolConfig,0x4F5Ea639600A01931B1370CDe99a7B1e7b6b8f6C,7,0x0000000000000000000000000000000000000000000000000000000000000000
collateralPoolConfig,0x4F5Ea639600A01931B1370CDe99a7B1e7b6b8f6C,8,0x0000000000000000000000000000000000000000000000000000000000000000
collateralPoolConfig,0x4F5Ea639600A01931B1370CDe99a7B1e7b6b8f6C,9,0x0000000000000000000000000000000000000000000000000000000000000000
collateralPoolConfig,0x4F5Ea639600A01931B1370CDe99a7B1e7b6b8f6C,10,0x0000000000000000000000000000000000000000000000000000000000000000
collateralPoolConfig,0x4F5Ea639600A01931B1370CDe99a7B1e7b6b8f6C,11,0x0000000000000000000000000000000000000000000000000000000000000000
collateralPoolConfig,0x4F5Ea639600A01931B1370CDe99a7B1e7b6b8f6C,12,0x0000000000000000000000000000000000000000000000000000000000000000
collateralPoolConfig,0x4F5Ea639600A01931B1370CDe99a7B1e7b6b8f6C,13,0x0000000000000000000000000000000000000000000000000000000000000000
collateralPoolConfig,0x4F5Ea639600A01931B1370CDe99a7B1e7b6b8f6C,14,0x0000000000000000000000000000000000000000000000000000000000000000
collateralPoolConfig,0x4F5Ea639600A01931B1370CDe99a7B1e7b6b8f6C,15,0x0000000000000000000000000000000000000000000000000000000000000000
collateralPoolConfig,0x4F5Ea639600A01931B1370CDe99a7B1e7b6b8f6C,16,0x0000000000000000000000000000000000000000000000000000000000000000
collateralPoolConfig,0x4F5Ea639600A01931B1370CDe99a7B1e7b6b8f6C,17,0x0000000000000000000000000000000000000000000000000000000000000000
collateralPoolConfig,0x4F5Ea639600A01931B1370CDe99a7B1e7b6b8f6C,18,0x0000000000000000000000000000000000000000000000000000000000000000
collateralPoolConfig,0x4F5Ea639600A01931B1370CDe99a7B1e7b6b8f6C,19,0x0000000000000000000000000000000000000000000000000000000000000000
collateralPoolConfig,0x4F5Ea639600A01931B1370CDe99a7B1e7b6b8f6C,20,0x0000000000000000000000000000000000000000000000000000000000000000
collateralPoolConfig,0x4F5Ea639600A01931B1370CDe99a7B1e7b6b8f6C,21,0x0000000000000000000000000000000000000000000000000000000000000000
collateralPoolConfig,0x4F5Ea639600A01931B1370CDe99a7B1e7b6b8f6C,22,0x0000000000000000000000000000000000000000000000000000000000000000
collateralPoolConfig,0x4F5Ea639600A01931B1370CDe99a7B1e7b6b8f6C,23,0x0000000000000000000000000000000000000000000000000000000000000000
collateralPoolConfig,0x4F5Ea639600A01931B1370CDe99a7B1e7b6b8f6C,24,0x0000000000000000000000000000000000000000000000000000000000000000
collateralPoolConfig,0x4F5Ea639600A01931B1370CDe99a7B1e7b6b8f6C,25,0x0000000000000000000000000000000000000000000000000000000000000000
collateralPoolConfig,0x4F5Ea639600A01931B1370CDe99a7B1e7b6b8f6C,26,0x0000000000000000000000000000000000000000000000000000000000000000
collateralPoolConfig,0x4F5Ea639600A01931B1370CDe99a7B1e7b6b8f6C,27,0x0000000000000000000000000000000000000000000000000000000000000000
collateralPoolConfig,0x4F5Ea639600A01931B1370CDe99a7B1e7b6b8f6C,28,0x0000000000000000000000000000000000000000000000000000000000000000
collateralPoolConfig,0x4F5Ea639600A01931B1370CDe99a7B1e7b6b8f6C,29,0x0000000000000000000000000000000000000000000000000000000000000000
collateralPoolConfig,0x4F5Ea639600A01931B1370CDe99a7B1e7b6b8f6C,30,0x0000000000000000000000000000000000000000000000000000000000000000
collateralPoolConfig,0x4F5Ea639600A01931B1370CDe99a7B1e7b6b8f6C,31,0x0000000000000000000000000000000000000000000000000000000000000000
