Contract Name,Contract Address,Slot,Value
collateralTokenAdapter,0x2fc7e65023aFF27FA61A573B5C8E3fDe3CE9ef79,0,0x0000000000000000000000000000000000000000000000000000000000000001
collateralTokenAdapter,0x2fc7e65023aFF27FA61A573B5C8E3fDe3CE9ef79,1,0x0000000000000000000000000000000000000000000000000000000000000000
collateralTokenAdapter,0x2fc7e65023aFF27FA61A573B5C8E3fDe3CE9ef79,2,0x0000000000000000000000000000000000000000000000000000000000000000
collateralTokenAdapter,0x2fc7e65023aFF27FA61A573B5C8E3fDe3CE9ef79,3,0x0000000000000000000000000000000000000000000000000000000000000000
collateralTokenAdapter,0x2fc7e65023aFF27FA61A573B5C8E3fDe3CE9ef79,4,0x0000000000000000000000000000000000000000000000000000000000000000
collateralTokenAdapter,0x2fc7e65023aFF27FA61A573B5C8E3fDe3CE9ef79,5,0x0000000000000000000000000000000000000000000000000000000000000000
collateralTokenAdapter,0x2fc7e65023aFF27FA61A573B5C8E3fDe3CE9ef79,6,0x0000000000000000000000000000000000000000000000000000000000000000
collateralTokenAdapter,0x2fc7e65023aFF27FA61A573B5C8E3fDe3CE9ef79,7,0x0000000000000000000000000000000000000000000000000000000000000000
collateralTokenAdapter,0x2fc7e65023aFF27FA61A573B5C8E3fDe3CE9ef79,8,0x0000000000000000000000000000000000000000000000000000000000000000
collateralTokenAdapter,0x2fc7e65023aFF27FA61A573B5C8E3fDe3CE9ef79,9,0x0000000000000000000000000000000000000000000000000000000000000000
collateralTokenAdapter,0x2fc7e65023aFF27FA61A573B5C8E3fDe3CE9ef79,10,0x0000000000000000000000000000000000000000000000000000000000000000
collateralTokenAdapter,0x2fc7e65023aFF27FA61A573B5C8E3fDe3CE9ef79,11,0x0000000000000000000000000000000000000000000000000000000000000000
collateralTokenAdapter,0x2fc7e65023aFF27FA61A573B5C8E3fDe3CE9ef79,12,0x0000000000000000000000000000000000000000000000000000000000000000
collateralTokenAdapter,0x2fc7e65023aFF27FA61A573B5C8E3fDe3CE9ef79,13,0x0000000000000000000000000000000000000000000000000000000000000000
collateralTokenAdapter,0x2fc7e65023aFF27FA61A573B5C8E3fDe3CE9ef79,14,0x0000000000000000000000000000000000000000000000000000000000000000
collateralTokenAdapter,0x2fc7e65023aFF27FA61A573B5C8E3fDe3CE9ef79,15,0x0000000000000000000000000000000000000000000000000000000000000000
collateralTokenAdapter,0x2fc7e65023aFF27FA61A573B5C8E3fDe3CE9ef79,16,0x0000000000000000000000000000000000000000000000000000000000000000
collateralTokenAdapter,0x2fc7e65023aFF27FA61A573B5C8E3fDe3CE9ef79,17,0x0000000000000000000000000000000000000000000000000000000000000000
collateralTokenAdapter,0x2fc7e65023aFF27FA61A573B5C8E3fDe3CE9ef79,18,0x0000000000000000000000000000000000000000000000000000000000000000
collateralTokenAdapter,0x2fc7e65023aFF27FA61A573B5C8E3fDe3CE9ef79,19,0x0000000000000000000000000000000000000000000000000000000000000000
collateralTokenAdapter,0x2fc7e65023aFF27FA61A573B5C8E3fDe3CE9ef79,20,0x0000000000000000000000000000000000000000000000000000000000000000
collateralTokenAdapter,0x2fc7e65023aFF27FA61A573B5C8E3fDe3CE9ef79,21,0x0000000000000000000000000000000000000000000000000000000000000000
collateralTokenAdapter,0x2fc7e65023aFF27FA61A573B5C8E3fDe3CE9ef79,22,0x0000000000000000000000000000000000000000000000000000000000000000
collateralTokenAdapter,0x2fc7e65023aFF27FA61A573B5C8E3fDe3CE9ef79,23,0x0000000000000000000000000000000000000000000000000000000000000000
collateralTokenAdapter,0x2fc7e65023aFF27FA61A573B5C8E3fDe3CE9ef79,24,0x0000000000000000000000000000000000000000000000000000000000000000
