Contract Name,Contract Address,Slot,Value
delayFathomOraclePriceFeed,0x5dE248bbD0ae9E846B8dBa12960fc3524Fb37a88,0,0x0000000000000000000000000000000000000000000000000000000000000001
delayFathomOraclePriceFeed,0x5dE248bbD0ae9E846B8dBa12960fc3524Fb37a88,1,0x0000000000000000000000000000000000000000000000000000000000000000
delayFathomOraclePriceFeed,0x5dE248bbD0ae9E846B8dBa12960fc3524Fb37a88,2,0x0000000000000000000000000000000000000000000000000000000000000000
delayFathomOraclePriceFeed,0x5dE248bbD0ae9E846B8dBa12960fc3524Fb37a88,3,0x0000000000000000000000000000000000000000000000000000000000000000
delayFathomOraclePriceFeed,0x5dE248bbD0ae9E846B8dBa12960fc3524Fb37a88,4,0x0000000000000000000000000000000000000000000000000000000000000000
delayFathomOraclePriceFeed,0x5dE248bbD0ae9E846B8dBa12960fc3524Fb37a88,5,0x0000000000000000000000000000000000000000000000000000000000000000
delayFathomOraclePriceFeed,0x5dE248bbD0ae9E846B8dBa12960fc3524Fb37a88,6,0x0000000000000000000000000000000000000000000000000000000000000000
delayFathomOraclePriceFeed,0x5dE248bbD0ae9E846B8dBa12960fc3524Fb37a88,7,0x0000000000000000000000000000000000000000000000000000000000000000
delayFathomOraclePriceFeed,0x5dE248bbD0ae9E846B8dBa12960fc3524Fb37a88,8,0x0000000000000000000000000000000000000000000000000000000000000000
delayFathomOraclePriceFeed,0x5dE248bbD0ae9E846B8dBa12960fc3524Fb37a88,9,0x0000000000000000000000000000000000000000000000000000000000000000
delayFathomOraclePriceFeed,0x5dE248bbD0ae9E846B8dBa12960fc3524Fb37a88,10,0x0000000000000000000000000000000000000000000000000000000000000000
delayFathomOraclePriceFeed,0x5dE248bbD0ae9E846B8dBa12960fc3524Fb37a88,11,0x0000000000000000000000000000000000000000000000000000000000000000
delayFathomOraclePriceFeed,0x5dE248bbD0ae9E846B8dBa12960fc3524Fb37a88,12,0x0000000000000000000000000000000000000000000000000000000000000000
delayFathomOraclePriceFeed,0x5dE248bbD0ae9E846B8dBa12960fc3524Fb37a88,13,0x0000000000000000000000000000000000000000000000000000000000000000
delayFathomOraclePriceFeed,0x5dE248bbD0ae9E846B8dBa12960fc3524Fb37a88,14,0x0000000000000000000000000000000000000000000000000000000000000000
delayFathomOraclePriceFeed,0x5dE248bbD0ae9E846B8dBa12960fc3524Fb37a88,15,0x0000000000000000000000000000000000000000000000000000000000000000
delayFathomOraclePriceFeed,0x5dE248bbD0ae9E846B8dBa12960fc3524Fb37a88,16,0x0000000000000000000000000000000000000000000000000000000000000000
delayFathomOraclePriceFeed,0x5dE248bbD0ae9E846B8dBa12960fc3524Fb37a88,17,0x0000000000000000000000000000000000000000000000000000000000000000
delayFathomOraclePriceFeed,0x5dE248bbD0ae9E846B8dBa12960fc3524Fb37a88,18,0x0000000000000000000000000000000000000000000000000000000000000000
delayFathomOraclePriceFeed,0x5dE248bbD0ae9E846B8dBa12960fc3524Fb37a88,19,0x0000000000000000000000000000000000000000000000000000000000000000
delayFathomOraclePriceFeed,0x5dE248bbD0ae9E846B8dBa12960fc3524Fb37a88,20,0x0000000000000000000000000000000000000000000000000000000000000000
