Contract Name,Contract Address,Slot,Value
fixedSpreadLiquidationStrategy,0x66B45F20cE90D5164bf85C582002d3620C429496,0,0x0000000000000000000000000000000000000000000000000000000000000001
fixedSpreadLiquidationStrategy,0x66B45F20cE90D5164bf85C582002d3620C429496,1,0x0000000000000000000000000000000000000000000000000000000000000000
fixedSpreadLiquidationStrategy,0x66B45F20cE90D5164bf85C582002d3620C429496,2,0x0000000000000000000000000000000000000000000000000000000000000000
fixedSpreadLiquidationStrategy,0x66B45F20cE90D5164bf85C582002d3620C429496,3,0x0000000000000000000000000000000000000000000000000000000000000000
fixedSpreadLiquidationStrategy,0x66B45F20cE90D5164bf85C582002d3620C429496,4,0x0000000000000000000000000000000000000000000000000000000000000000
fixedSpreadLiquidationStrategy,0x66B45F20cE90D5164bf85C582002d3620C429496,5,0x0000000000000000000000000000000000000000000000000000000000000000
fixedSpreadLiquidationStrategy,0x66B45F20cE90D5164bf85C582002d3620C429496,6,0x0000000000000000000000000000000000000000000000000000000000000000
fixedSpreadLiquidationStrategy,0x66B45F20cE90D5164bf85C582002d3620C429496,7,0x0000000000000000000000000000000000000000000000000000000000000000
fixedSpreadLiquidationStrategy,0x66B45F20cE90D5164bf85C582002d3620C429496,8,0x0000000000000000000000000000000000000000000000000000000000000000
fixedSpreadLiquidationStrategy,0x66B45F20cE90D5164bf85C582002d3620C429496,9,0x0000000000000000000000000000000000000000000000000000000000000000
fixedSpreadLiquidationStrategy,0x66B45F20cE90D5164bf85C582002d3620C429496,10,0x0000000000000000000000000000000000000000000000000000000000000000
fixedSpreadLiquidationStrategy,0x66B45F20cE90D5164bf85C582002d3620C429496,11,0x0000000000000000000000000000000000000000000000000000000000000000
fixedSpreadLiquidationStrategy,0x66B45F20cE90D5164bf85C582002d3620C429496,12,0x0000000000000000000000000000000000000000000000000000000000000000
fixedSpreadLiquidationStrategy,0x66B45F20cE90D5164bf85C582002d3620C429496,13,0x0000000000000000000000000000000000000000000000000000000000000000
fixedSpreadLiquidationStrategy,0x66B45F20cE90D5164bf85C582002d3620C429496,14,0x0000000000000000000000000000000000000000000000000000000000000000
fixedSpreadLiquidationStrategy,0x66B45F20cE90D5164bf85C582002d3620C429496,15,0x0000000000000000000000000000000000000000000000000000000000000000
fixedSpreadLiquidationStrategy,0x66B45F20cE90D5164bf85C582002d3620C429496,16,0x0000000000000000000000000000000000000000000000000000000000000000
fixedSpreadLiquidationStrategy,0x66B45F20cE90D5164bf85C582002d3620C429496,17,0x0000000000000000000000000000000000000000000000000000000000000000
fixedSpreadLiquidationStrategy,0x66B45F20cE90D5164bf85C582002d3620C429496,18,0x0000000000000000000000000000000000000000000000000000000000000000
fixedSpreadLiquidationStrategy,0x66B45F20cE90D5164bf85C582002d3620C429496,19,0x0000000000000000000000000000000000000000000000000000000000000000
fixedSpreadLiquidationStrategy,0x66B45F20cE90D5164bf85C582002d3620C429496,20,0x0000000000000000000000000000000000000000000000000000000000000000
fixedSpreadLiquidationStrategy,0x66B45F20cE90D5164bf85C582002d3620C429496,21,0x0000000000000000000000000000000000000000000000000000000000000000
fixedSpreadLiquidationStrategy,0x66B45F20cE90D5164bf85C582002d3620C429496,22,0x0000000000000000000000000000000000000000000000000000000000000000
fixedSpreadLiquidationStrategy,0x66B45F20cE90D5164bf85C582002d3620C429496,23,0x0000000000000000000000000000000000000000000000000000000000000000
fixedSpreadLiquidationStrategy,0x66B45F20cE90D5164bf85C582002d3620C429496,24,0x0000000000000000000000000000000000000000000000000000000000000000
fixedSpreadLiquidationStrategy,0x66B45F20cE90D5164bf85C582002d3620C429496,25,0x0000000000000000000000000000000000000000000000000000000000000000
fixedSpreadLiquidationStrategy,0x66B45F20cE90D5164bf85C582002d3620C429496,26,0x0000000000000000000000000000000000000000000000000000000000000000
fixedSpreadLiquidationStrategy,0x66B45F20cE90D5164bf85C582002d3620C429496,27,0x0000000000000000000000000000000000000000000000000000000000000000
fixedSpreadLiquidationStrategy,0x66B45F20cE90D5164bf85C582002d3620C429496,28,0x0000000000000000000000000000000000000000000000000000000000000000
fixedSpreadLiquidationStrategy,0x66B45F20cE90D5164bf85C582002d3620C429496,29,0x0000000000000000000000000000000000000000000000000000000000000000
fixedSpreadLiquidationStrategy,0x66B45F20cE90D5164bf85C582002d3620C429496,30,0x0000000000000000000000000000000000000000000000000000000000000000
fixedSpreadLiquidationStrategy,0x66B45F20cE90D5164bf85C582002d3620C429496,31,0x0000000000000000000000000000000000000000000000000000000000000000
fixedSpreadLiquidationStrategy,0x66B45F20cE90D5164bf85C582002d3620C429496,32,0x0000000000000000000000000000000000000000000000000000000000000000
fixedSpreadLiquidationStrategy,0x66B45F20cE90D5164bf85C582002d3620C429496,33,0x0000000000000000000000000000000000000000000000000000000000000000
fixedSpreadLiquidationStrategy,0x66B45F20cE90D5164bf85C582002d3620C429496,34,0x0000000000000000000000000000000000000000000000000000000000000000
fixedSpreadLiquidationStrategy,0x66B45F20cE90D5164bf85C582002d3620C429496,35,0x0000000000000000000000000000000000000000000000000000000000000000
fixedSpreadLiquidationStrategy,0x66B45F20cE90D5164bf85C582002d3620C429496,36,0x0000000000000000000000000000000000000000000000000000000000000000
fixedSpreadLiquidationStrategy,0x66B45F20cE90D5164bf85C582002d3620C429496,37,0x0000000000000000000000000000000000000000000000000000000000000000
fixedSpreadLiquidationStrategy,0x66B45F20cE90D5164bf85C582002d3620C429496,38,0x0000000000000000000000000000000000000000000000000000000000000000
fixedSpreadLiquidationStrategy,0x66B45F20cE90D5164bf85C582002d3620C429496,39,0x0000000000000000000000000000000000000000000000000000000000000000
fixedSpreadLiquidationStrategy,0x66B45F20cE90D5164bf85C582002d3620C429496,40,0x0000000000000000000000000000000000000000000000000000000000000000
fixedSpreadLiquidationStrategy,0x66B45F20cE90D5164bf85C582002d3620C429496,41,0x0000000000000000000000000000000000000000000000000000000000000000
fixedSpreadLiquidationStrategy,0x66B45F20cE90D5164bf85C582002d3620C429496,42,0x0000000000000000000000000000000000000000000000000000000000000000
fixedSpreadLiquidationStrategy,0x66B45F20cE90D5164bf85C582002d3620C429496,43,0x0000000000000000000000000000000000000000000000000000000000000000
fixedSpreadLiquidationStrategy,0x66B45F20cE90D5164bf85C582002d3620C429496,44,0x0000000000000000000000000000000000000000000000000000000000000000
fixedSpreadLiquidationStrategy,0x66B45F20cE90D5164bf85C582002d3620C429496,45,0x0000000000000000000000000000000000000000000000000000000000000000
fixedSpreadLiquidationStrategy,0x66B45F20cE90D5164bf85C582002d3620C429496,46,0x0000000000000000000000000000000000000000000000000000000000000000
fixedSpreadLiquidationStrategy,0x66B45F20cE90D5164bf85C582002d3620C429496,47,0x0000000000000000000000000000000000000000000000000000000000000000
fixedSpreadLiquidationStrategy,0x66B45F20cE90D5164bf85C582002d3620C429496,48,0x0000000000000000000000000000000000000000000000000000000000000000
fixedSpreadLiquidationStrategy,0x66B45F20cE90D5164bf85C582002d3620C429496,49,0x0000000000000000000000000000000000000000000000000000000000000000
fixedSpreadLiquidationStrategy,0x66B45F20cE90D5164bf85C582002d3620C429496,50,0x0000000000000000000000000000000000000000000000000000000000000000
fixedSpreadLiquidationStrategy,0x66B45F20cE90D5164bf85C582002d3620C429496,51,0x0000000000000000000000000000000000000000000000000000000000000000
fixedSpreadLiquidationStrategy,0x66B45F20cE90D5164bf85C582002d3620C429496,52,0x0000000000000000000000000000000000000000000000000000000000000000
fixedSpreadLiquidationStrategy,0x66B45F20cE90D5164bf85C582002d3620C429496,53,0x0000000000000000000000000000000000000000000000000000000000000000
fixedSpreadLiquidationStrategy,0x66B45F20cE90D5164bf85C582002d3620C429496,54,0x0000000000000000000000000000000000000000000000000000000000000000
fixedSpreadLiquidationStrategy,0x66B45F20cE90D5164bf85C582002d3620C429496,55,0x0000000000000000000000000000000000000000000000000000000000000000
fixedSpreadLiquidationStrategy,0x66B45F20cE90D5164bf85C582002d3620C429496,56,0x0000000000000000000000000000000000000000000000000000000000000000
fixedSpreadLiquidationStrategy,0x66B45F20cE90D5164bf85C582002d3620C429496,57,0x0000000000000000000000000000000000000000000000000000000000000000
fixedSpreadLiquidationStrategy,0x66B45F20cE90D5164bf85C582002d3620C429496,58,0x0000000000000000000000000000000000000000000000000000000000000000
fixedSpreadLiquidationStrategy,0x66B45F20cE90D5164bf85C582002d3620C429496,59,0x0000000000000000000000000000000000000000000000000000000000000000
fixedSpreadLiquidationStrategy,0x66B45F20cE90D5164bf85C582002d3620C429496,60,0x0000000000000000000000000000000000000000000000000000000000000000
fixedSpreadLiquidationStrategy,0x66B45F20cE90D5164bf85C582002d3620C429496,61,0x0000000000000000000000000000000000000000000000000000000000000000
fixedSpreadLiquidationStrategy,0x66B45F20cE90D5164bf85C582002d3620C429496,62,0x0000000000000000000000000000000000000000000000000000000000000000
fixedSpreadLiquidationStrategy,0x66B45F20cE90D5164bf85C582002d3620C429496,63,0x0000000000000000000000000000000000000000000000000000000000000000
fixedSpreadLiquidationStrategy,0x66B45F20cE90D5164bf85C582002d3620C429496,64,0x0000000000000000000000000000000000000000000000000000000000000000
fixedSpreadLiquidationStrategy,0x66B45F20cE90D5164bf85C582002d3620C429496,65,0x0000000000000000000000000000000000000000000000000000000000000000
fixedSpreadLiquidationStrategy,0x66B45F20cE90D5164bf85C582002d3620C429496,66,0x0000000000000000000000000000000000000000000000000000000000000000
