Contract Name,Contract Address,Slot,Value
proxyFactory,0x0acf88Ba60561372Ef93a67E04e1A55d9fC1D910,0,0x000000000000000000000000594d425a6c9249f66a00c841a7a2a921b63a0a4c
proxyFactory,0x0acf88Ba60561372Ef93a67E04e1A55d9fC1D910,1,0x0000000000000000000000000000000000000000000000000000000000000000
proxyFactory,0x0acf88Ba60561372Ef93a67E04e1A55d9fC1D910,2,0x0000000000000000000000000000000000000000000000000000000000000000
proxyFactory,0x0acf88Ba60561372Ef93a67E04e1A55d9fC1D910,3,0x0000000000000000000000000000000000000000000000000000000000000000
proxyFactory,0x0acf88Ba60561372Ef93a67E04e1A55d9fC1D910,4,0x0000000000000000000000000000000000000000000000000000000000000000
proxyFactory,0x0acf88Ba60561372Ef93a67E04e1A55d9fC1D910,5,0x0000000000000000000000000000000000000000000000000000000000000000
proxyFactory,0x0acf88Ba60561372Ef93a67E04e1A55d9fC1D910,6,0x0000000000000000000000000000000000000000000000000000000000000000
proxyFactory,0x0acf88Ba60561372Ef93a67E04e1A55d9fC1D910,7,0x0000000000000000000000000000000000000000000000000000000000000000
proxyFactory,0x0acf88Ba60561372Ef93a67E04e1A55d9fC1D910,8,0x0000000000000000000000000000000000000000000000000000000000000000
proxyFactory,0x0acf88Ba60561372Ef93a67E04e1A55d9fC1D910,9,0x0000000000000000000000000000000000000000000000000000000000000000
proxyFactory,0x0acf88Ba60561372Ef93a67E04e1A55d9fC1D910,10,0x0000000000000000000000000000000000000000000000000000000000000000
proxyFactory,0x0acf88Ba60561372Ef93a67E04e1A55d9fC1D910,11,0x0000000000000000000000000000000000000000000000000000000000000000
proxyFactory,0x0acf88Ba60561372Ef93a67E04e1A55d9fC1D910,12,0x0000000000000000000000000000000000000000000000000000000000000000
proxyFactory,0x0acf88Ba60561372Ef93a67E04e1A55d9fC1D910,13,0x0000000000000000000000000000000000000000000000000000000000000000
proxyFactory,0x0acf88Ba60561372Ef93a67E04e1A55d9fC1D910,14,0x0000000000000000000000000000000000000000000000000000000000000000
proxyFactory,0x0acf88Ba60561372Ef93a67E04e1A55d9fC1D910,15,0x0000000000000000000000000000000000000000000000000000000000000000
proxyFactory,0x0acf88Ba60561372Ef93a67E04e1A55d9fC1D910,16,0x0000000000000000000000000000000000000000000000000000000000000000
proxyFactory,0x0acf88Ba60561372Ef93a67E04e1A55d9fC1D910,17,0x0000000000000000000000000000000000000000000000000000000000000000
