Contract Name,Contract Address,Slot,Value
stabilityFeeCollector,0x00f093e0E188dA1711a18fd5BF7468aea706888C,0,0x0000000000000000000000000000000000000000000000000000000000000001
stabilityFeeCollector,0x00f093e0E188dA1711a18fd5BF7468aea706888C,1,0x0000000000000000000000000000000000000000000000000000000000000000
stabilityFeeCollector,0x00f093e0E188dA1711a18fd5BF7468aea706888C,2,0x0000000000000000000000000000000000000000000000000000000000000000
stabilityFeeCollector,0x00f093e0E188dA1711a18fd5BF7468aea706888C,3,0x0000000000000000000000000000000000000000000000000000000000000000
stabilityFeeCollector,0x00f093e0E188dA1711a18fd5BF7468aea706888C,4,0x0000000000000000000000000000000000000000000000000000000000000000
stabilityFeeCollector,0x00f093e0E188dA1711a18fd5BF7468aea706888C,5,0x0000000000000000000000000000000000000000000000000000000000000000
stabilityFeeCollector,0x00f093e0E188dA1711a18fd5BF7468aea706888C,6,0x0000000000000000000000000000000000000000000000000000000000000000
stabilityFeeCollector,0x00f093e0E188dA1711a18fd5BF7468aea706888C,7,0x0000000000000000000000000000000000000000000000000000000000000000
stabilityFeeCollector,0x00f093e0E188dA1711a18fd5BF7468aea706888C,8,0x0000000000000000000000000000000000000000000000000000000000000000
stabilityFeeCollector,0x00f093e0E188dA1711a18fd5BF7468aea706888C,9,0x0000000000000000000000000000000000000000000000000000000000000000
stabilityFeeCollector,0x00f093e0E188dA1711a18fd5BF7468aea706888C,10,0x0000000000000000000000000000000000000000000000000000000000000000
stabilityFeeCollector,0x00f093e0E188dA1711a18fd5BF7468aea706888C,11,0x0000000000000000000000000000000000000000000000000000000000000000
stabilityFeeCollector,0x00f093e0E188dA1711a18fd5BF7468aea706888C,12,0x0000000000000000000000000000000000000000000000000000000000000000
stabilityFeeCollector,0x00f093e0E188dA1711a18fd5BF7468aea706888C,13,0x0000000000000000000000000000000000000000000000000000000000000000
stabilityFeeCollector,0x00f093e0E188dA1711a18fd5BF7468aea706888C,14,0x0000000000000000000000000000000000000000000000000000000000000000
stabilityFeeCollector,0x00f093e0E188dA1711a18fd5BF7468aea706888C,15,0x0000000000000000000000000000000000000000000000000000000000000000
stabilityFeeCollector,0x00f093e0E188dA1711a18fd5BF7468aea706888C,16,0x0000000000000000000000000000000000000000000000000000000000000000
stabilityFeeCollector,0x00f093e0E188dA1711a18fd5BF7468aea706888C,17,0x0000000000000000000000000000000000000000000000000000000000000000
