Contract Name,Contract Address,Slot,Value
stableSwapModule,0x42c06188B8C03769A1F73B3f31b259271ee3B981,0,0x0000000000000000000000000000000000000000000000000000000000000001
stableSwapModule,0x42c06188B8C03769A1F73B3f31b259271ee3B981,1,0x0000000000000000000000000000000000000000000000000000000000000000
stableSwapModule,0x42c06188B8C03769A1F73B3f31b259271ee3B981,2,0x0000000000000000000000000000000000000000000000000000000000000000
stableSwapModule,0x42c06188B8C03769A1F73B3f31b259271ee3B981,3,0x0000000000000000000000000000000000000000000000000000000000000000
stableSwapModule,0x42c06188B8C03769A1F73B3f31b259271ee3B981,4,0x0000000000000000000000000000000000000000000000000000000000000000
stableSwapModule,0x42c06188B8C03769A1F73B3f31b259271ee3B981,5,0x0000000000000000000000000000000000000000000000000000000000000000
stableSwapModule,0x42c06188B8C03769A1F73B3f31b259271ee3B981,6,0x0000000000000000000000000000000000000000000000000000000000000000
stableSwapModule,0x42c06188B8C03769A1F73B3f31b259271ee3B981,7,0x0000000000000000000000000000000000000000000000000000000000000000
stableSwapModule,0x42c06188B8C03769A1F73B3f31b259271ee3B981,8,0x0000000000000000000000000000000000000000000000000000000000000000
stableSwapModule,0x42c06188B8C03769A1F73B3f31b259271ee3B981,9,0x0000000000000000000000000000000000000000000000000000000000000000
stableSwapModule,0x42c06188B8C03769A1F73B3f31b259271ee3B981,10,0x0000000000000000000000000000000000000000000000000000000000000000
stableSwapModule,0x42c06188B8C03769A1F73B3f31b259271ee3B981,11,0x0000000000000000000000000000000000000000000000000000000000000000
stableSwapModule,0x42c06188B8C03769A1F73B3f31b259271ee3B981,12,0x0000000000000000000000000000000000000000000000000000000000000000
stableSwapModule,0x42c06188B8C03769A1F73B3f31b259271ee3B981,13,0x0000000000000000000000000000000000000000000000000000000000000000
stableSwapModule,0x42c06188B8C03769A1F73B3f31b259271ee3B981,14,0x0000000000000000000000000000000000000000000000000000000000000000
stableSwapModule,0x42c06188B8C03769A1F73B3f31b259271ee3B981,15,0x0000000000000000000000000000000000000000000000000000000000000000
stableSwapModule,0x42c06188B8C03769A1F73B3f31b259271ee3B981,16,0x0000000000000000000000000000000000000000000000000000000000000000
stableSwapModule,0x42c06188B8C03769A1F73B3f31b259271ee3B981,17,0x0000000000000000000000000000000000000000000000000000000000000000
stableSwapModule,0x42c06188B8C03769A1F73B3f31b259271ee3B981,18,0x0000000000000000000000000000000000000000000000000000000000000000
stableSwapModule,0x42c06188B8C03769A1F73B3f31b259271ee3B981,19,0x0000000000000000000000000000000000000000000000000000000000000000
stableSwapModule,0x42c06188B8C03769A1F73B3f31b259271ee3B981,20,0x0000000000000000000000000000000000000000000000000000000000000000
stableSwapModule,0x42c06188B8C03769A1F73B3f31b259271ee3B981,21,0x0000000000000000000000000000000000000000000000000000000000000000
stableSwapModule,0x42c06188B8C03769A1F73B3f31b259271ee3B981,22,0x0000000000000000000000000000000000000000000000000000000000000000
stableSwapModule,0x42c06188B8C03769A1F73B3f31b259271ee3B981,23,0x0000000000000000000000000000000000000000000000000000000000000000
stableSwapModule,0x42c06188B8C03769A1F73B3f31b259271ee3B981,24,0x0000000000000000000000000000000000000000000000000000000000000000
stableSwapModule,0x42c06188B8C03769A1F73B3f31b259271ee3B981,25,0x0000000000000000000000000000000000000000000000000000000000000000
stableSwapModule,0x42c06188B8C03769A1F73B3f31b259271ee3B981,26,0x0000000000000000000000000000000000000000000000000000000000000000
stableSwapModule,0x42c06188B8C03769A1F73B3f31b259271ee3B981,27,0x0000000000000000000000000000000000000000000000000000000000000000
stableSwapModule,0x42c06188B8C03769A1F73B3f31b259271ee3B981,28,0x0000000000000000000000000000000000000000000000000000000000000000
stableSwapModule,0x42c06188B8C03769A1F73B3f31b259271ee3B981,29,0x0000000000000000000000000000000000000000000000000000000000000000
stableSwapModule,0x42c06188B8C03769A1F73B3f31b259271ee3B981,30,0x0000000000000000000000000000000000000000000000000000000000000000
stableSwapModule,0x42c06188B8C03769A1F73B3f31b259271ee3B981,31,0x0000000000000000000000000000000000000000000000000000000000000000
stableSwapModule,0x42c06188B8C03769A1F73B3f31b259271ee3B981,32,0x0000000000000000000000000000000000000000000000000000000000000000
stableSwapModule,0x42c06188B8C03769A1F73B3f31b259271ee3B981,33,0x0000000000000000000000000000000000000000000000000000000000000000
stableSwapModule,0x42c06188B8C03769A1F73B3f31b259271ee3B981,34,0x0000000000000000000000000000000000000000000000000000000000000000
stableSwapModule,0x42c06188B8C03769A1F73B3f31b259271ee3B981,35,0x0000000000000000000000000000000000000000000000000000000000000000
stableSwapModule,0x42c06188B8C03769A1F73B3f31b259271ee3B981,36,0x0000000000000000000000000000000000000000000000000000000000000000
stableSwapModule,0x42c06188B8C03769A1F73B3f31b259271ee3B981,37,0x0000000000000000000000000000000000000000000000000000000000000000
stableSwapModule,0x42c06188B8C03769A1F73B3f31b259271ee3B981,38,0x0000000000000000000000000000000000000000000000000000000000000000
stableSwapModule,0x42c06188B8C03769A1F73B3f31b259271ee3B981,39,0x0000000000000000000000000000000000000000000000000000000000000000
stableSwapModule,0x42c06188B8C03769A1F73B3f31b259271ee3B981,40,0x0000000000000000000000000000000000000000000000000000000000000000
stableSwapModule,0x42c06188B8C03769A1F73B3f31b259271ee3B981,41,0x0000000000000000000000000000000000000000000000000000000000000000
stableSwapModule,0x42c06188B8C03769A1F73B3f31b259271ee3B981,42,0x0000000000000000000000000000000000000000000000000000000000000000
stableSwapModule,0x42c06188B8C03769A1F73B3f31b259271ee3B981,43,0x0000000000000000000000000000000000000000000000000000000000000000
stableSwapModule,0x42c06188B8C03769A1F73B3f31b259271ee3B981,44,0x0000000000000000000000000000000000000000000000000000000000000000
stableSwapModule,0x42c06188B8C03769A1F73B3f31b259271ee3B981,45,0x0000000000000000000000000000000000000000000000000000000000000000
stableSwapModule,0x42c06188B8C03769A1F73B3f31b259271ee3B981,46,0x0000000000000000000000000000000000000000000000000000000000000000
stableSwapModule,0x42c06188B8C03769A1F73B3f31b259271ee3B981,47,0x0000000000000000000000000000000000000000000000000000000000000000
stableSwapModule,0x42c06188B8C03769A1F73B3f31b259271ee3B981,48,0x0000000000000000000000000000000000000000000000000000000000000000
stableSwapModule,0x42c06188B8C03769A1F73B3f31b259271ee3B981,49,0x0000000000000000000000000000000000000000000000000000000000000000
stableSwapModule,0x42c06188B8C03769A1F73B3f31b259271ee3B981,50,0x0000000000000000000000000000000000000000000000000000000000000000
stableSwapModule,0x42c06188B8C03769A1F73B3f31b259271ee3B981,51,0x0000000000000000000000000000000000000000000000000000000000000000
stableSwapModule,0x42c06188B8C03769A1F73B3f31b259271ee3B981,52,0x0000000000000000000000000000000000000000000000000000000000000000
stableSwapModule,0x42c06188B8C03769A1F73B3f31b259271ee3B981,53,0x0000000000000000000000000000000000000000000000000000000000000000
stableSwapModule,0x42c06188B8C03769A1F73B3f31b259271ee3B981,54,0x0000000000000000000000000000000000000000000000000000000000000000
stableSwapModule,0x42c06188B8C03769A1F73B3f31b259271ee3B981,55,0x0000000000000000000000000000000000000000000000000000000000000000
stableSwapModule,0x42c06188B8C03769A1F73B3f31b259271ee3B981,56,0x0000000000000000000000000000000000000000000000000000000000000000
stableSwapModule,0x42c06188B8C03769A1F73B3f31b259271ee3B981,57,0x0000000000000000000000000000000000000000000000000000000000000000
stableSwapModule,0x42c06188B8C03769A1F73B3f31b259271ee3B981,58,0x0000000000000000000000000000000000000000000000000000000000000000
stableSwapModule,0x42c06188B8C03769A1F73B3f31b259271ee3B981,59,0x0000000000000000000000000000000000000000000000000000000000000000
stableSwapModule,0x42c06188B8C03769A1F73B3f31b259271ee3B981,60,0x0000000000000000000000000000000000000000000000000000000000000000
stableSwapModule,0x42c06188B8C03769A1F73B3f31b259271ee3B981,61,0x0000000000000000000000000000000000000000000000000000000000000000
stableSwapModule,0x42c06188B8C03769A1F73B3f31b259271ee3B981,62,0x0000000000000000000000000000000000000000000000000000000000000000
stableSwapModule,0x42c06188B8C03769A1F73B3f31b259271ee3B981,63,0x0000000000000000000000000000000000000000000000000000000000000000
stableSwapModule,0x42c06188B8C03769A1F73B3f31b259271ee3B981,64,0x0000000000000000000000000000000000000000000000000000000000000000
stableSwapModule,0x42c06188B8C03769A1F73B3f31b259271ee3B981,65,0x0000000000000000000000000000000000000000000000000000000000000000
stableSwapModule,0x42c06188B8C03769A1F73B3f31b259271ee3B981,66,0x0000000000000000000000000000000000000000000000000000000000000000
stableSwapModule,0x42c06188B8C03769A1F73B3f31b259271ee3B981,67,0x0000000000000000000000000000000000000000000000000000000000000000
stableSwapModule,0x42c06188B8C03769A1F73B3f31b259271ee3B981,68,0x0000000000000000000000000000000000000000000000000000000000000000
stableSwapModule,0x42c06188B8C03769A1F73B3f31b259271ee3B981,69,0x0000000000000000000000000000000000000000000000000000000000000000
stableSwapModule,0x42c06188B8C03769A1F73B3f31b259271ee3B981,70,0x0000000000000000000000000000000000000000000000000000000000000000
stableSwapModule,0x42c06188B8C03769A1F73B3f31b259271ee3B981,71,0x0000000000000000000000000000000000000000000000000000000000000000
stableSwapModule,0x42c06188B8C03769A1F73B3f31b259271ee3B981,72,0x0000000000000000000000000000000000000000000000000000000000000000
stableSwapModule,0x42c06188B8C03769A1F73B3f31b259271ee3B981,73,0x0000000000000000000000000000000000000000000000000000000000000000
stableSwapModule,0x42c06188B8C03769A1F73B3f31b259271ee3B981,74,0x0000000000000000000000000000000000000000000000000000000000000000
stableSwapModule,0x42c06188B8C03769A1F73B3f31b259271ee3B981,75,0x0000000000000000000000000000000000000000000000000000000000000000
stableSwapModule,0x42c06188B8C03769A1F73B3f31b259271ee3B981,76,0x0000000000000000000000000000000000000000000000000000000000000000
stableSwapModule,0x42c06188B8C03769A1F73B3f31b259271ee3B981,77,0x0000000000000000000000000000000000000000000000000000000000000000
stableSwapModule,0x42c06188B8C03769A1F73B3f31b259271ee3B981,78,0x0000000000000000000000000000000000000000000000000000000000000000
stableSwapModule,0x42c06188B8C03769A1F73B3f31b259271ee3B981,79,0x0000000000000000000000000000000000000000000000000000000000000000
stableSwapModule,0x42c06188B8C03769A1F73B3f31b259271ee3B981,80,0x0000000000000000000000000000000000000000000000000000000000000000
stableSwapModule,0x42c06188B8C03769A1F73B3f31b259271ee3B981,81,0x0000000000000000000000000000000000000000000000000000000000000000
stableSwapModule,0x42c06188B8C03769A1F73B3f31b259271ee3B981,82,0x0000000000000000000000000000000000000000000000000000000000000000
stableSwapModule,0x42c06188B8C03769A1F73B3f31b259271ee3B981,83,0x0000000000000000000000000000000000000000000000000000000000000000
stableSwapModule,0x42c06188B8C03769A1F73B3f31b259271ee3B981,84,0x0000000000000000000000000000000000000000000000000000000000000000
stableSwapModule,0x42c06188B8C03769A1F73B3f31b259271ee3B981,85,0x0000000000000000000000000000000000000000000000000000000000000000
stableSwapModule,0x42c06188B8C03769A1F73B3f31b259271ee3B981,86,0x0000000000000000000000000000000000000000000000000000000000000000
stableSwapModule,0x42c06188B8C03769A1F73B3f31b259271ee3B981,87,0x0000000000000000000000000000000000000000000000000000000000000000
stableSwapModule,0x42c06188B8C03769A1F73B3f31b259271ee3B981,88,0x0000000000000000000000000000000000000000000000000000000000000000
stableSwapModule,0x42c06188B8C03769A1F73B3f31b259271ee3B981,89,0x0000000000000000000000000000000000000000000000000000000000000000
stableSwapModule,0x42c06188B8C03769A1F73B3f31b259271ee3B981,90,0x0000000000000000000000000000000000000000000000000000000000000000
stableSwapModule,0x42c06188B8C03769A1F73B3f31b259271ee3B981,91,0x0000000000000000000000000000000000000000000000000000000000000000
stableSwapModule,0x42c06188B8C03769A1F73B3f31b259271ee3B981,92,0x0000000000000000000000000000000000000000000000000000000000000000
stableSwapModule,0x42c06188B8C03769A1F73B3f31b259271ee3B981,93,0x0000000000000000000000000000000000000000000000000000000000000000
stableSwapModule,0x42c06188B8C03769A1F73B3f31b259271ee3B981,94,0x0000000000000000000000000000000000000000000000000000000000000000
stableSwapModule,0x42c06188B8C03769A1F73B3f31b259271ee3B981,95,0x0000000000000000000000000000000000000000000000000000000000000000
stableSwapModule,0x42c06188B8C03769A1F73B3f31b259271ee3B981,96,0x0000000000000000000000000000000000000000000000000000000000000000
stableSwapModule,0x42c06188B8C03769A1F73B3f31b259271ee3B981,97,0x0000000000000000000000000000000000000000000000000000000000000000
stableSwapModule,0x42c06188B8C03769A1F73B3f31b259271ee3B981,98,0x0000000000000000000000000000000000000000000000000000000000000000
stableSwapModule,0x42c06188B8C03769A1F73B3f31b259271ee3B981,99,0x0000000000000000000000000000000000000000000000000000000000000000
stableSwapModule,0x42c06188B8C03769A1F73B3f31b259271ee3B981,100,0x0000000000000000000000000000000000000000000000000000000000000000
stableSwapModule,0x42c06188B8C03769A1F73B3f31b259271ee3B981,101,0x0000000000000000000000000000000000000000000000000000000000000001
stableSwapModule,0x42c06188B8C03769A1F73B3f31b259271ee3B981,102,0x0000000000000000000000000000000000000000000000000000000000000000
stableSwapModule,0x42c06188B8C03769A1F73B3f31b259271ee3B981,103,0x0000000000000000000000000000000000000000000000000000000000000000
stableSwapModule,0x42c06188B8C03769A1F73B3f31b259271ee3B981,104,0x0000000000000000000000000000000000000000000000000000000000000000
stableSwapModule,0x42c06188B8C03769A1F73B3f31b259271ee3B981,105,0x0000000000000000000000000000000000000000000000000000000000000000
stableSwapModule,0x42c06188B8C03769A1F73B3f31b259271ee3B981,106,0x0000000000000000000000000000000000000000000000000000000000000000
stableSwapModule,0x42c06188B8C03769A1F73B3f31b259271ee3B981,107,0x0000000000000000000000000000000000000000000000000000000000000000
stableSwapModule,0x42c06188B8C03769A1F73B3f31b259271ee3B981,108,0x0000000000000000000000000000000000000000000000000000000000000000
stableSwapModule,0x42c06188B8C03769A1F73B3f31b259271ee3B981,109,0x0000000000000000000000000000000000000000000000000000000000000000
stableSwapModule,0x42c06188B8C03769A1F73B3f31b259271ee3B981,110,0x0000000000000000000000000000000000000000000000000000000000000000
stableSwapModule,0x42c06188B8C03769A1F73B3f31b259271ee3B981,111,0x0000000000000000000000000000000000000000000000000000000000000000
stableSwapModule,0x42c06188B8C03769A1F73B3f31b259271ee3B981,112,0x0000000000000000000000000000000000000000000000000000000000000000
stableSwapModule,0x42c06188B8C03769A1F73B3f31b259271ee3B981,113,0x0000000000000000000000000000000000000000000000000000000000000000
stableSwapModule,0x42c06188B8C03769A1F73B3f31b259271ee3B981,114,0x0000000000000000000000000000000000000000000000000000000000000000
stableSwapModule,0x42c06188B8C03769A1F73B3f31b259271ee3B981,115,0x0000000000000000000000000000000000000000000000000000000000000000
stableSwapModule,0x42c06188B8C03769A1F73B3f31b259271ee3B981,116,0x0000000000000000000000000000000000000000000000000000000000000000
stableSwapModule,0x42c06188B8C03769A1F73B3f31b259271ee3B981,117,0x0000000000000000000000000000000000000000000000000000000000000000
stableSwapModule,0x42c06188B8C03769A1F73B3f31b259271ee3B981,118,0x0000000000000000000000000000000000000000000000000000000000000000
stableSwapModule,0x42c06188B8C03769A1F73B3f31b259271ee3B981,119,0x0000000000000000000000000000000000000000000000000000000000000000
stableSwapModule,0x42c06188B8C03769A1F73B3f31b259271ee3B981,120,0x0000000000000000000000000000000000000000000000000000000000000000
stableSwapModule,0x42c06188B8C03769A1F73B3f31b259271ee3B981,121,0x0000000000000000000000000000000000000000000000000000000000000000
stableSwapModule,0x42c06188B8C03769A1F73B3f31b259271ee3B981,122,0x0000000000000000000000000000000000000000000000000000000000000000
stableSwapModule,0x42c06188B8C03769A1F73B3f31b259271ee3B981,123,0x0000000000000000000000000000000000000000000000000000000000000000
stableSwapModule,0x42c06188B8C03769A1F73B3f31b259271ee3B981,124,0x0000000000000000000000000000000000000000000000000000000000000000
stableSwapModule,0x42c06188B8C03769A1F73B3f31b259271ee3B981,125,0x0000000000000000000000000000000000000000000000000000000000000000
stableSwapModule,0x42c06188B8C03769A1F73B3f31b259271ee3B981,126,0x0000000000000000000000000000000000000000000000000000000000000000
stableSwapModule,0x42c06188B8C03769A1F73B3f31b259271ee3B981,127,0x0000000000000000000000000000000000000000000000000000000000000000
stableSwapModule,0x42c06188B8C03769A1F73B3f31b259271ee3B981,128,0x0000000000000000000000000000000000000000000000000000000000000000
stableSwapModule,0x42c06188B8C03769A1F73B3f31b259271ee3B981,129,0x0000000000000000000000000000000000000000000000000000000000000000
stableSwapModule,0x42c06188B8C03769A1F73B3f31b259271ee3B981,130,0x0000000000000000000000000000000000000000000000000000000000000000
stableSwapModule,0x42c06188B8C03769A1F73B3f31b259271ee3B981,131,0x0000000000000000000000000000000000000000000000000000000000000000
stableSwapModule,0x42c06188B8C03769A1F73B3f31b259271ee3B981,132,0x0000000000000000000000000000000000000000000000000000000000000000
stableSwapModule,0x42c06188B8C03769A1F73B3f31b259271ee3B981,133,0x0000000000000000000000000000000000000000000000000000000000000000
stableSwapModule,0x42c06188B8C03769A1F73B3f31b259271ee3B981,134,0x0000000000000000000000000000000000000000000000000000000000000000
stableSwapModule,0x42c06188B8C03769A1F73B3f31b259271ee3B981,135,0x0000000000000000000000000000000000000000000000000000000000000000
stableSwapModule,0x42c06188B8C03769A1F73B3f31b259271ee3B981,136,0x0000000000000000000000000000000000000000000000000000000000000000
stableSwapModule,0x42c06188B8C03769A1F73B3f31b259271ee3B981,137,0x0000000000000000000000000000000000000000000000000000000000000000
stableSwapModule,0x42c06188B8C03769A1F73B3f31b259271ee3B981,138,0x0000000000000000000000000000000000000000000000000000000000000000
stableSwapModule,0x42c06188B8C03769A1F73B3f31b259271ee3B981,139,0x0000000000000000000000000000000000000000000000000000000000000000
stableSwapModule,0x42c06188B8C03769A1F73B3f31b259271ee3B981,140,0x0000000000000000000000000000000000000000000000000000000000000000
stableSwapModule,0x42c06188B8C03769A1F73B3f31b259271ee3B981,141,0x0000000000000000000000000000000000000000000000000000000000000000
stableSwapModule,0x42c06188B8C03769A1F73B3f31b259271ee3B981,142,0x0000000000000000000000000000000000000000000000000000000000000000
stableSwapModule,0x42c06188B8C03769A1F73B3f31b259271ee3B981,143,0x0000000000000000000000000000000000000000000000000000000000000000
stableSwapModule,0x42c06188B8C03769A1F73B3f31b259271ee3B981,144,0x0000000000000000000000000000000000000000000000000000000000000000
stableSwapModule,0x42c06188B8C03769A1F73B3f31b259271ee3B981,145,0x0000000000000000000000000000000000000000000000000000000000000000
