Contract Name,Contract Address,Slot,Value
stablecoinAdapter,0xE3b248A97E9eb778c9B08f20a74c9165E22ef40E,0,0x0000000000000000000000000000000000000000000000000000000000000001
stablecoinAdapter,0xE3b248A97E9eb778c9B08f20a74c9165E22ef40E,1,0x0000000000000000000000000000000000000000000000000000000000000000
stablecoinAdapter,0xE3b248A97E9eb778c9B08f20a74c9165E22ef40E,2,0x0000000000000000000000000000000000000000000000000000000000000000
stablecoinAdapter,0xE3b248A97E9eb778c9B08f20a74c9165E22ef40E,3,0x0000000000000000000000000000000000000000000000000000000000000000
stablecoinAdapter,0xE3b248A97E9eb778c9B08f20a74c9165E22ef40E,4,0x0000000000000000000000000000000000000000000000000000000000000000
stablecoinAdapter,0xE3b248A97E9eb778c9B08f20a74c9165E22ef40E,5,0x0000000000000000000000000000000000000000000000000000000000000000
stablecoinAdapter,0xE3b248A97E9eb778c9B08f20a74c9165E22ef40E,6,0x0000000000000000000000000000000000000000000000000000000000000000
stablecoinAdapter,0xE3b248A97E9eb778c9B08f20a74c9165E22ef40E,7,0x0000000000000000000000000000000000000000000000000000000000000000
stablecoinAdapter,0xE3b248A97E9eb778c9B08f20a74c9165E22ef40E,8,0x0000000000000000000000000000000000000000000000000000000000000000
stablecoinAdapter,0xE3b248A97E9eb778c9B08f20a74c9165E22ef40E,9,0x0000000000000000000000000000000000000000000000000000000000000000
stablecoinAdapter,0xE3b248A97E9eb778c9B08f20a74c9165E22ef40E,10,0x0000000000000000000000000000000000000000000000000000000000000000
stablecoinAdapter,0xE3b248A97E9eb778c9B08f20a74c9165E22ef40E,11,0x0000000000000000000000000000000000000000000000000000000000000000
stablecoinAdapter,0xE3b248A97E9eb778c9B08f20a74c9165E22ef40E,12,0x0000000000000000000000000000000000000000000000000000000000000000
stablecoinAdapter,0xE3b248A97E9eb778c9B08f20a74c9165E22ef40E,13,0x0000000000000000000000000000000000000000000000000000000000000000
stablecoinAdapter,0xE3b248A97E9eb778c9B08f20a74c9165E22ef40E,14,0x0000000000000000000000000000000000000000000000000000000000000000
stablecoinAdapter,0xE3b248A97E9eb778c9B08f20a74c9165E22ef40E,15,0x0000000000000000000000000000000000000000000000000000000000000000
stablecoinAdapter,0xE3b248A97E9eb778c9B08f20a74c9165E22ef40E,16,0x0000000000000000000000000000000000000000000000000000000000000000
stablecoinAdapter,0xE3b248A97E9eb778c9B08f20a74c9165E22ef40E,17,0x0000000000000000000000000000000000000000000000000000000000000000
stablecoinAdapter,0xE3b248A97E9eb778c9B08f20a74c9165E22ef40E,18,0x0000000000000000000000000000000000000000000000000000000000000000
stablecoinAdapter,0xE3b248A97E9eb778c9B08f20a74c9165E22ef40E,19,0x0000000000000000000000000000000000000000000000000000000000000000
stablecoinAdapter,0xE3b248A97E9eb778c9B08f20a74c9165E22ef40E,20,0x0000000000000000000000000000000000000000000000000000000000000000
stablecoinAdapter,0xE3b248A97E9eb778c9B08f20a74c9165E22ef40E,21,0x0000000000000000000000000000000000000000000000000000000000000000
stablecoinAdapter,0xE3b248A97E9eb778c9B08f20a74c9165E22ef40E,22,0x0000000000000000000000000000000000000000000000000000000000000000
stablecoinAdapter,0xE3b248A97E9eb778c9B08f20a74c9165E22ef40E,23,0x0000000000000000000000000000000000000000000000000000000000000000
stablecoinAdapter,0xE3b248A97E9eb778c9B08f20a74c9165E22ef40E,24,0x0000000000000000000000000000000000000000000000000000000000000000
stablecoinAdapter,0xE3b248A97E9eb778c9B08f20a74c9165E22ef40E,25,0x0000000000000000000000000000000000000000000000000000000000000000
stablecoinAdapter,0xE3b248A97E9eb778c9B08f20a74c9165E22ef40E,26,0x0000000000000000000000000000000000000000000000000000000000000000
stablecoinAdapter,0xE3b248A97E9eb778c9B08f20a74c9165E22ef40E,27,0x0000000000000000000000000000000000000000000000000000000000000000
stablecoinAdapter,0xE3b248A97E9eb778c9B08f20a74c9165E22ef40E,28,0x0000000000000000000000000000000000000000000000000000000000000000
stablecoinAdapter,0xE3b248A97E9eb778c9B08f20a74c9165E22ef40E,29,0x0000000000000000000000000000000000000000000000000000000000000000
stablecoinAdapter,0xE3b248A97E9eb778c9B08f20a74c9165E22ef40E,30,0x0000000000000000000000000000000000000000000000000000000000000000
stablecoinAdapter,0xE3b248A97E9eb778c9B08f20a74c9165E22ef40E,31,0x0000000000000000000000000000000000000000000000000000000000000000
stablecoinAdapter,0xE3b248A97E9eb778c9B08f20a74c9165E22ef40E,32,0x0000000000000000000000000000000000000000000000000000000000000000
stablecoinAdapter,0xE3b248A97E9eb778c9B08f20a74c9165E22ef40E,33,0x0000000000000000000000000000000000000000000000000000000000000000
stablecoinAdapter,0xE3b248A97E9eb778c9B08f20a74c9165E22ef40E,34,0x0000000000000000000000000000000000000000000000000000000000000000
stablecoinAdapter,0xE3b248A97E9eb778c9B08f20a74c9165E22ef40E,35,0x0000000000000000000000000000000000000000000000000000000000000000
stablecoinAdapter,0xE3b248A97E9eb778c9B08f20a74c9165E22ef40E,36,0x0000000000000000000000000000000000000000000000000000000000000000
